,,A,,,,,B,,,,
MongoDB,units,wa-1k,wa-5k,wa-10k,wa-20k,wa-50k,wb-1k,wb-5k,wb-10k,wb-20k,wb-50k
[OVERALL], RunTime(ms),1121,3864,2010,2470,4571,1076,3727,1891,2597,4458
[OVERALL], Throughput(ops/sec),892.0606601,1293.995859,4975.124378,8097.165992,10938.52549,929.3680297,1341.561578,5288.207298,7701.193685,11215.79183
[TOTAL_GCS_Copy], Count,0,1,3,5,12,0,1,3,5,12
[TOTAL_GC_TIME_Copy], Time(ms),0,21,15,15,17,0,16,14,19,19
[TOTAL_GC_TIME_%_Copy], Time(%),0,0.543478261,0.746268657,0.607287449,0.371909867,0,0.429299705,0.740349022,0.7316134,0.42620009
[TOTAL_GCS_MarkSweepCompact], Count,0,0,0,0,0,0,0,0,0,0
[TOTAL_GC_TIME_MarkSweepCompact], Time(ms),0,0,0,0,0,0,0,0,0,0
[TOTAL_GC_TIME_%_MarkSweepCompact], Time(%),0,0,0,0,0,0,0,0,0,0
[TOTAL_GCs], Count,0,1,3,5,12,0,1,3,5,12
[TOTAL_GC_TIME], Time(ms),0,21,15,15,17,0,16,14,19,19
[TOTAL_GC_TIME_%], Time(%),0,0.543478261,0.746268657,0.607287449,0.371909867,0,0.429299705,0.740349022,0.7316134,0.42620009
[CLEANUP], Operations,1,1,1,1,1,1,1,1,1,1
[CLEANUP], AverageLatency(us),1699,9012,3985,1478,3131,1735,1815,1867,1536,1231
[CLEANUP], MinLatency(us),1699,9008,3984,1478,3130,1735,1815,1867,1536,1231
[CLEANUP], MaxLatency(us),1699,9015,3985,1478,3131,1735,1815,1867,1536,1231
[CLEANUP], 95thPercentileLatency(us),1699,9015,3985,1478,3131,1735,1815,1867,1536,1231
[CLEANUP], 99thPercentileLatency(us),1699,9015,3985,1478,3131,1735,1815,1867,1536,1231
[INSERT], Operations,1000,5000,10000,20000,50000,1000,5000,10000,20000,50000
[INSERT], AverageLatency(us),514.001,484.2894,134.9922,89.6236,74.17878,526.427,430.802,122.4704,93.91665,74.91272
[INSERT], MinLatency(us),62,39,29,28,23,63,41,28,29,22
[INSERT], MaxLatency(us),108287,184063,140543,127231,111487,79935,190847,142719,124351,91007
[INSERT], 95thPercentileLatency(us),1886,2783,244,115,95,1956,2401,178,126,98
[INSERT], 99thPercentileLatency(us),4571,6811,2347,1400,1061,5243,6251,2131,1652,1037
[INSERT], Return=OK,1000,5000,10000,20000,50000,1000,5000,10000,20000,50000
,,A,,,,,B,,,,
MySQL,units,wa-1k,wa-5k,wa-10k,wa-20k,wa-50k,wb-1k,wb-5k,wb-10k,wb-20k,wb-50k
[OVERALL], RunTime(ms),11813,16632,57097,159441,498259,11680,60631,66582,174607,517619
[OVERALL], Throughput(ops/sec),84.65250148,300.6253006,175.1405503,125.4382499,100.3494167,85.61643836,82.46606521,150.1907422,114.542945,96.59614504
[TOTAL_GCS_Copy], Count,0,1,3,6,15,0,1,3,6,15
[TOTAL_GC_TIME_Copy], Time(ms),0,8,11,12,14,0,14,12,12,19
[TOTAL_GC_TIME_%_Copy], Time(%),0,0.048100048,0.019265461,0.007526295,0.002809784,0,0.023090498,0.018022889,0.006872577,0.003670654
[TOTAL_GCS_MarkSweepCompact], Count,0,0,0,0,0,0,0,0,0,0
[TOTAL_GC_TIME_MarkSweepCompact], Time(ms),0,0,0,0,0,0,0,0,0,0
[TOTAL_GC_TIME_%_MarkSweepCompact], Time(%),0,0,0,0,0,0,0,0,0,0
[TOTAL_GCs], Count,0,1,3,6,15,0,1,3,6,15
[TOTAL_GC_TIME], Time(ms),0,8,11,12,14,0,14,12,12,19
[TOTAL_GC_TIME_%], Time(%),0,0.048100048,0.019265461,0.007526295,0.002809784,0,0.023090498,0.018022889,0.006872577,0.003670654
[CLEANUP], Operations,1,1,1,1,1,1,1,1,1,1
[CLEANUP], AverageLatency(us),886,713,752,716,753,817,862,1367,694,738
[CLEANUP], MinLatency(us),886,713,752,716,753,817,862,1367,694,738
[CLEANUP], MaxLatency(us),886,713,752,716,753,817,862,1367,694,738
[CLEANUP], 95thPercentileLatency(us),886,713,752,716,753,817,862,1367,694,738
[CLEANUP], 99thPercentileLatency(us),886,713,752,716,753,817,862,1367,694,738
[INSERT], Operations,1000,5000,10000,20000,50000,1000,5000,10000,20000,50000
[INSERT], AverageLatency(us),10319.836,3208.3474,5636.7586,7932.92045,9943.48946,10192.826,11845.0734,6583.9279,8690.82735,10332.54476
[INSERT], MinLatency(us),2794,1251,1180,1179,1209,2162,1944,1200,1210,1186
[INSERT], MaxLatency(us),109375,63743,59839,55551,258047,104767,79359,84479,252799,250495
[INSERT], 95thPercentileLatency(us),20991,9159,13279,15607,17839,20383,25071,15335,17343,18639
[INSERT], 99thPercentileLatency(us),31823,18543,19471,21487,25535,35295,35135,22607,27023,28175
[INSERT], Return=OK,1000,5000,10000,20000,50000,1000,5000,10000,20000,50000
